PID,Age,Gender,Filename,How mentally demanding was the task?,anxious – relaxed,agitated – calm,unsafe – safe,timid – confident,I trust the highly automated vehicle.,I can rely on the highly automated vehicle.,The system state was always clear to me.,The system reacts unpredictably.,I was able to understand why things happened.,It’s difficult to identify what the system will do next.,useful – useless,pleasant – unpleasant,bad – good,nice – annoying,effective – superfluous,irritating – likeable,assisting – worthless,undesirable – desirable,raising alertness – sleep-inducing,How changeable is the situation?,How complicated is the situation?,How many variables are changing?,How aroused are you?,How much are you concentrating?,How much is your attention divided?,How much mental capacity do you have to spare?,How much information have you gained?,How good is the information you have gained?,How familiar are you with the situation?
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,14.0,2.0,1.0,-2.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,5.0,3.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,4.0,5.0,5.0,3.0
11,61,male,processed_1_clip8_pid_11_age_61_male.csv,13.0,-2.0,-1.0,-2.0,-1.0,3.0,3.0,3.0,2.0,4.0,4.0,6.0,3.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,2.0,3.0,4.0,4.0,3.0
12,31,female,processed_1_clip8_pid_12_age_31_female.csv,12.0,2.0,1.0,-2.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,6.0,2.0,3.0,4.0,6.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,2.0
13,51,male,processed_1_clip8_pid_13_age_51_male.csv,14.0,1.0,1.0,-1.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,3.0,2.0,3.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0,4.0,5.0,2.0
14,28,male,processed_1_clip8_pid_14_age_28_male.csv,12.0,2.0,1.0,-2.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,7.0,3.0,2.0,2.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,3.0
15,53,male,processed_1_clip8_pid_15_age_53_male.csv,16.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,2.0,2.0,4.0,3.0,6.0,2.0,2.0,2.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,3.0,3.0,5.0,5.0,3.0
16,40,female,processed_1_clip8_pid_16_age_40_female.csv,16.0,-2.0,-1.0,-3.0,-2.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,2.0,4.0,5.0,3.0
17,18,female,processed_1_clip8_pid_17_age_18_female.csv,14.0,2.0,1.0,-1.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,3.0,4.0,3.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0
18,23,male,processed_1_clip8_pid_18_age_23_male.csv,18.0,-2.0,-2.0,2.0,-1.0,4.0,4.0,2.0,2.0,4.0,3.0,6.0,2.0,2.0,2.0,6.0,4.0,6.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,2.0,5.0,5.0,2.0
19,38,male,processed_1_clip8_pid_19_age_38_male.csv,16.0,2.0,2.0,-1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,6.0,3.0,4.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0
1,67,male,processed_1_clip8_pid_1_age_67_male.csv,17.0,2.0,2.0,-1.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,6.0,4.0,4.0,4.0,6.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,2.0,5.0,5.0,2.0
20,74,male,processed_1_clip8_pid_20_age_74_male.csv,15.0,2.0,2.0,0.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,2.0,3.0,5.0,5.0,3.0
21,46,female,processed_1_clip8_pid_21_age_46_female.csv,15.0,-2.0,-2.0,-2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,6.0,2.0,3.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,3.0,4.0,4.0,5.0,3.0
22,67,female,processed_1_clip8_pid_22_age_67_female.csv,16.0,-2.0,-2.0,-3.0,-2.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,3.0,5.0,5.0,2.0
23,80,male,processed_1_clip8_pid_23_age_80_male.csv,14.0,-1.0,-2.0,-1.0,-1.0,4.0,4.0,3.0,1.0,4.0,2.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,2.0
24,37,female,processed_1_clip8_pid_24_age_37_female.csv,15.0,-1.0,-1.0,-2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,6.0,5.0,2.0,4.0,6.0,3.0,6.0,2.0,6.0,5.0,5.0,6.0,5.0,6.0,3.0,3.0,5.0,5.0,2.0
2,26,male,processed_1_clip8_pid_2_age_26_male.csv,16.0,-1.0,-1.0,-2.0,-1.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,3.0,2.0,5.0,6.0,5.0,2.0,2.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,3.0
3,44,male,processed_1_clip8_pid_3_age_44_male.csv,18.0,2.0,2.0,-2.0,-1.0,4.0,4.0,3.0,2.0,4.0,2.0,6.0,3.0,5.0,3.0,6.0,5.0,6.0,6.0,2.0,5.0,5.0,5.0,5.0,6.0,4.0,2.0,5.0,5.0,3.0
4,74,female,processed_1_clip8_pid_4_age_74_female.csv,15.0,2.0,2.0,-3.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,6.0,3.0,5.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,2.0,5.0,5.0,3.0
5,36,male,processed_1_clip8_pid_5_age_36_male.csv,16.0,-2.0,-2.0,-1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,6.0,3.0,5.0,2.0,6.0,2.0,6.0,3.0,6.0,5.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,3.0
6,64,female,processed_1_clip8_pid_6_age_64_female.csv,14.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,3.0,3.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,3.0,3.0,4.0,5.0,3.0
7,26,female,processed_1_clip8_pid_7_age_26_female.csv,16.0,-2.0,-1.0,-2.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,6.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,6.0,6.0,3.0,3.0,4.0,4.0,3.0
8,58,female,processed_1_clip8_pid_8_age_58_female.csv,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
9,61,female,processed_1_clip8_pid_9_age_61_female.csv,14.0,-1.0,1.0,-2.0,-1.0,4.0,4.0,3.0,2.0,4.0,2.0,6.0,2.0,5.0,3.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0
